====================================================================================================
Logging file for python script in Intensity Distribution.Experiment 1 (Anonymous): Exp1_LIC_GASD
.py
| The recreation of Experiment 1: comparison between LIC and GASD. 
Started at 2024-05-19 03:32:06.556582 with command:
> python Exp1_LIC_GASD.py --exp T1_LIC_sig10
====================================================================================================

2024-05-19 03:32:08.290807 | Iteration 1: similarity = 8.55e-02, loss = 5.62e+00, dice = 5.93e-01
2024-05-19 03:32:09.900585 | Iteration 2: similarity = 1.12e-01, loss = 4.23e+00, dice = 6.31e-01
2024-05-19 03:32:11.516497 | Iteration 3: similarity = 1.52e-01, loss = 3.49e+00, dice = 6.73e-01
2024-05-19 03:32:13.099829 | Iteration 4: similarity = 1.89e-01, loss = 2.74e+00, dice = 7.09e-01
2024-05-19 03:32:14.690870 | Iteration 5: similarity = 2.10e-01, loss = 2.50e+00, dice = 7.29e-01
2024-05-19 03:32:16.288707 | Iteration 6: similarity = 2.27e-01, loss = 2.25e+00, dice = 7.42e-01
2024-05-19 03:32:17.885625 | Iteration 7: similarity = 2.41e-01, loss = 2.01e+00, dice = 7.55e-01
2024-05-19 03:32:19.466921 | Iteration 8: similarity = 2.52e-01, loss = 1.80e+00, dice = 7.65e-01
2024-05-19 03:32:21.065221 | Iteration 9: similarity = 2.60e-01, loss = 1.61e+00, dice = 7.73e-01
2024-05-19 03:32:22.667080 | Iteration 10: similarity = 2.66e-01, loss = 1.45e+00, dice = 7.79e-01
2024-05-19 03:32:24.270852 | Iteration 11: similarity = 2.71e-01, loss = 1.32e+00, dice = 7.84e-01
2024-05-19 03:32:25.860370 | Iteration 12: similarity = 2.75e-01, loss = 1.20e+00, dice = 7.88e-01
2024-05-19 03:32:27.470878 | Iteration 13: similarity = 2.79e-01, loss = 1.09e+00, dice = 7.92e-01
2024-05-19 03:32:29.064661 | Iteration 14: similarity = 2.83e-01, loss = 9.87e-01, dice = 7.95e-01
2024-05-19 03:32:30.660514 | Iteration 15: similarity = 2.86e-01, loss = 8.99e-01, dice = 7.97e-01
2024-05-19 03:32:32.247150 | Iteration 16: similarity = 2.89e-01, loss = 8.17e-01, dice = 8.01e-01
2024-05-19 03:32:33.854948 | Iteration 17: similarity = 2.91e-01, loss = 7.41e-01, dice = 8.04e-01
2024-05-19 03:32:35.443834 | Iteration 18: similarity = 2.93e-01, loss = 6.72e-01, dice = 8.06e-01
2024-05-19 03:32:37.034785 | Iteration 19: similarity = 2.95e-01, loss = 6.10e-01, dice = 8.09e-01
2024-05-19 03:32:38.630198 | Iteration 20: similarity = 2.97e-01, loss = 5.54e-01, dice = 8.11e-01
2024-05-19 03:32:40.224068 | Iteration 21: similarity = 2.99e-01, loss = 5.02e-01, dice = 8.13e-01
2024-05-19 03:32:41.818020 | Iteration 22: similarity = 3.00e-01, loss = 4.54e-01, dice = 8.15e-01
2024-05-19 03:32:43.420972 | Iteration 23: similarity = 3.02e-01, loss = 4.11e-01, dice = 8.17e-01
2024-05-19 03:32:45.016711 | Iteration 24: similarity = 3.03e-01, loss = 3.71e-01, dice = 8.18e-01
